호선,역번호,역명,누계(km),환승역1,환승역2,환승역3
1,132,시청,67.4,201,,
1,133,서울역,68.5,426,P313,A01
1,134,남영,70.2,,,
1,135,용산,71.7,K110,,
1,136,노량진,74.3,917,,
1,137,대방,75.8,S402,,
1,138,신길,76.6,525,,
1,139,영등포,77.6,,,
1,140,신도림,79.1,234,,
2,226,사당,27,433,,
2,227,낙성대,28.7,,,
2,228,서울대입구,29.7,,,
2,229,봉천,30.7,,,
2,230,신림,31.8,S408,,
2,231,신대방,33.6,,,
2,232,구로디지털단지,34.7,,,
2,233,대림,35.8,744,,
2,234,신도림,37.6,140,,
2,235,문래,38.8,,,
2,236,영등포구청,39.7,523,,
2,237,당산,40.8,913,,
2,238,합정,42.8,622,,
2,239,홍대입구,43.9,K314,A03,
2,240,신촌,45.2,,,
2,241,이대,46,,,
2,242,아현,46.9,,,
2,243,충정로,47.7,531,,
2,201,시청,48.8,132,,
4,426,서울역,33.9,133,P313,A01
4,427,숙대입구,34.9,,,
4,428,삼각지,36.1,628,,
4,429,신용산,36.8,,,
4,430,이촌,38.1,K111,,
4,431,동작,40.8,920,,
4,432,이수,42.6,736,,
4,433,사당,43.7,226,,
5,523,영등포구청,13.7,236,,
5,524,영등포시장,14.6,,,
5,525,신길,15.7,138,,
5,526,여의도,16.7,915,,
5,527,여의나루,17.7,,,
5,528,마포,19.5,,,
5,529,공덕,20.3,626,K312,A02
5,530,애오개,21.4,,,
5,531,충정로,22.3,243,,
6,618,디지털미디어시티,9.5,K316,A04,
6,619,월드컵경기장,10.3,,,
6,620,마포구청,11.1,,,
6,621,망원,12.1,,,
6,622,합정,12.9,238,,
6,623,상수,13.7,,,
6,624,광흥창,14.6,,,
6,625,대흥,15.6,,,
6,626,공덕,16.5,529,K312,A02
6,627,효창공원앞,17.4,K311,,
6,628,삼각지,18.6,428,,
7,736,이수,30,432,,
7,737,남성,31,,,
7,738,숭실대입구,33,,,
7,739,상도,33.9,,,
7,740,장승배기,34.8,,,
7,741,신대방삼거리,36,,,
7,742,보라매,36.8,S404,,
7,743,신풍,37.7,,,
7,744,대림,39.1,233,,
9,905,마곡나루,6.1,A042,,
9,906,양천향교,7.5,,,
9,907,가양,8.8,,,
9,908,증미,9.5,,,
9,909,등촌,10.5,,,
9,910,염창,11.4,,,
9,911,신목동,12.3,,,
9,912,선유도,13.5,,,
9,913,당산,14.5,237,,
9,914,국회의사당,16,,,
9,915,여의도,16.9,526,,
9,916,샛강,17.7,S401,,
9,917,노량진,18.9,136,,
9,918,노들,20,,,
9,919,흑석,21.1,,,
9,920,동작,22.5,431,,
공항철도,A01,서울역,0,133,426,P313
공항철도,A02,공덕,3.3,529,626,K312
공항철도,A03,홍대입구,6.1,239,K314,
공항철도,A04,디지털미디어시티,9.5,618,K316,
공항철도,A042,마곡나루,18.1,905,,
경의중앙,K316,디지털미디어시티,48.5,618,A04,
경의중앙,K315,가좌,50.2,P315,,
경의중앙,K314,홍대입구,51.9,239,A03,
경의중앙,K313,서강대,52.8,,,
경의중앙,K312,공덕,54.7,529,626,A02
경의중앙,K311,효창공원앞,55.7,627,,
경의중앙,K110,용산,57.2,135,,
경의중앙,K111,이촌,59.1,430,,
경의,P313,서울역,0,133,426,A01
경의,P314,신촌,3.1,,,
경의,P315,가좌,5.8,K315,,
신림,S401,샛강,0,916,,
신림,S402,대방,0.5,137,,
신림,S403,서울지방병무청,1.4,,,
신림,S404,보라매,2,742,,
신림,S405,보라매공원,2.6,,,
신림,S406,보라매병원,3.4,,,
신림,S407,당곡,3.9,,,
신림,S408,신림,4.6,230,,
